#, Stílus, Előadó, Dal, Percentilis
0 , metal     , Unheilig                   , Gib mir mehr                                          , 65
1 , electronic, E Nomine                   , Spiegelbilder (Album Version)                         , 00
2 , electronic, Grendel                    , Chemicals + Circuitry (Dym Remix)                     , 95
3 , electronic, E Nomine                   , Laetitia                                              , 70
4 , metal     , Apocalyptica               , Kellot (Demo Version)                                 , 55
5 , electronic, Angerfist                  , You Are                                               , 60
6 , electronic, Zombie Girl                , Symphony Of The Living Dead (Part II)                 , 85
7 , electronic, Emilie Autumn              , Girls Just Wanna Have Fun                             , 70
8 , electronic, Otto Dix                   , Penance                                               , 50
9 , electronic, Nurzery [Rhymes]           , The Bloodprince                                       , 75
10, electronic, Grendel                    , Soilbleed (Dawn Of Ashes Remix)                       , 90
11, electronic, Sleepthief                 , Labyrinthine Heart                                    , 55
12, electronic, Emilie Autumn              , Gothic Lolita                                         , 55
13, electronic, Blutengel                  , Mondnacht                                             , 50
14, metal     , H.I.M.                     , Close to the Flame [The Rappula Tapes]                , 95
15, electronic, The Crüxshadows            , Untrue (Trevor Brown Remix)                           , 80
16, electronic, Emilie Autumn              , Prologue: Across The Sky                              , 65
17, classical , Nox Arcana                 , Solstice Dance                                        , 60
18, classical , Matt Uelmen                , Cave                                                  , 90
19, metal     , Marilyn Manson             , Apple of Sodom                                        , 80
20, classical , Nox Arcana                 , Skull and Crossbones                                  , 50
21, metal     , Dalriada                   , Szelek                                                , 55
22, metal     , Unheilig                   , Das Meer                                              , 85
23, electronic, Otto Dix                   , Stone Angel                                           , 75
24, metal     , Apocalyptica               , Cohkka                                                , 95
25, electronic, The Prodigy                , The Narcotic Suite: Claustrophobic Sting              , 65
26, electronic, Jesus On Extasy            , Revenge                                               , 55
27, metal     , Rammstein                  , Mutter (Vocoder Mix)                                  , 55
28, metal     , Bloodflowerz               , Diabolik Angel                                        , 55
29, electronic, Blutengel                  , Beauty Of Suffering                                   , 100
30, metal     , Marilyn Manson             , Better of two evils                                   , 80
