#, Stílus, Előadó, Dal, Percentilis
0 , classical , John Williams     , Polyjuice Potion                   , 50
1 , classical , Nox Arcana        , Ligeia's Lament                    , 50
2 , classical , Nicholas Hooper   , In Noctem                          , 60
3 , classical , Alexandre Desplat , Bathilda Bagshot                   , 75
4 , classical , Midnight Syndicate, How Strange...                     , 80
5 , classical , Midnight Syndicate, Theme - "Journey Into Dementia"    , 100
6 , classical , Midnight Syndicate, Alternative Therapy                , 60
7 , classical , Alexandre Desplat , Gringotts                          , 90
8 , classical , Nox Arcana        , Trespassers                        , 80
9 , electronic, Juno Reactor      , Mind Of The Free                   , 95
10, classical , Alexandre Desplat , In the Chamber of Secrets          , 65
11, classical , Nicholas Hooper   , Malfoy's Mission                   , 60
12, classical , Midnight Syndicate, Pleasant Dreams                    , 50
13, classical , Midnight Syndicate, Secret Chamber                     , 60
14, classical , Ramin Djawadi     , Await The King's Justice           , 80
15, classical , Midnight Syndicate, Darkness Descends                  , 70
16, classical , Patrick Doyle     , Goblet Of Fire                     , 60
17, classical , John Williams     , Cakes For Crabbe And Goyle         , 50
18, classical , Jeremy Soule      , Reign of the Septims               , 65
19, electronic, Heimataerde       , Unwesen                            , 50
20, classical , Midnight Syndicate, Meet Dr. V                         , 60
21, classical , Nicholas Hooper   , School!                            , 85
22, electronic, Tron Sepia        , Abyss (VIP)                        , 80
23, classical , Ramin Djawadi     , A Golden Crown                     , 60
24, classical , Alexandre Desplat , Lovegood                           , 55
25, classical , Ramin Djawadi     , Goodbye Brother                    , 90
26, classical , Alexandre Desplat , The grey lady                      , 60
27, electronic, Celldweller       , Welcome To The End                 , 75
28, electronic, The Prodigy       , AA. Pandemonium                    , 60
29, electronic, The Prodigy       , Warriors Dance                     , 65
30, electronic, Hocico            , Born To Be (Hated) Remix           , 90
