#, Stílus, Előadó, Dal, Percentilis
0 , electronic, Ekoplex           , Modoc                                             , 80
1 , electronic, Schizoid Bears    , Growing                                           , 65
2 , classical , Ramin Djawadi     , The Assassin's Dagger                             , 95
3 , electronic, Juno Reactor      , Rotorblade (Perfect Stranger Remix)               , 85
4 , electronic, Dawn Of Ashes     , Slasher                                           , 50
5 , electronic, E Nomine          , Extended Version                                  , 60
6 , electronic, Grendel           , Chemicals + Circuitry (Dym Remix)                 , 65
7 , metal     , ASP               , Prolog                                            , 90
8 , electronic, Otto Dix          , One Has To Smile                                  , 50
9 , electronic, Angelspit         , Psychic Vampire                                   , 85
10, electronic, Angelspit         , A La Mode, a La Mort                              , 50
11, electronic, Angelspit         , As It Is In Heaven                                , 80
12, electronic, Mind.In.A.Box     , What Used To Be (Peter Rainmans Mix)              , 65
13, electronic, Otto Dix          , Split Mind                                        , 85
14, electronic, E Nomine          , Der Exorzist                                      , 80
15, electronic, Nachtmahr         , Enemies                                           , 50
16, electronic, Dope Stars Inc.   , make a star (esoterica remix)                     , 55
17, classical , Nox Arcana        , Ghost Ship                                        , 90
18, electronic, Hocico            , Fed Up (Tannhauser Remix)                         , 85
19, classical , Midnight Syndicate, Tempest                                           , 75
20, electronic, Spruce            , Wu Zhuàn                                         , 90
21, electronic, Skrillex          , Pixel Cheese [Feat. Deadmau5]                     , 50
22, classical , Inon Zur          , To Kill An Ogre                                   , 60
23, classical , Midnight Syndicate, Crash Aftermath                                   , 90
24, classical , Inon Zur          , Dungeons And Dungeons                             , 55
25, electronic, Ekoplex           , Planted Tree                                      , 50
26, classical , Paul Romero       , Battle 5                                          ,100
27, electronic, Hocico            , Bizarre Words                                     ,100
28, electronic, Dawn Of Ashes     , Diagnosis                                         , 80
29, electronic, Angerfist         , The Driller Killer                                ,100
30, electronic, Mind.In.A.Box     , Loyalty                                           , 90
