#, Stílus, Előadó, Dal, Percentilis
0 ,metal     , Marilyn Manson        , Get Your Gunn                , 90
1 ,metal     , Moby Dick             , Még Élünk                    , 70
2 ,metal     , Rammstein             , Hilf mir                     , 85
3 ,metal     , Rammstein             , Du Riechst So Gut '98        , 50
4 ,metal     , H.I.M.                , Pretending                   ,100
5 ,electronic, Blutengel             , Das Blut der Ewigkeit        ,100
6 ,metal     , Rammstein             , Sehnsucht                    , 85
7 ,metal     , Diablo Swing Orchestra, Infralove                    , 75
8 ,metal     , In Flames             , Only For The Weak            ,100
9 ,metal     , Dimmu Borgir          , Sympozium                    , 80
10,metal     , Ektomorf              , Ambush in the night          , 55
11,metal     , Ego Fall              , The door to Nightmare        , 65
12,metal     , ChthoniC              , Hongqiao Tax                 , 75
13,metal     , Jesus On Extasy       , Beauty In Your Eyes          ,100
14,metal     , Disturbed             , Violence Fetish              , 65
15,electronic, Heimataerde           , König von Thule              , 65
16,metal     , Disturbed             , Stupify                      , 85
17,metal     , System Of A Down      , Toxicity                     , 95
18,metal     , Marilyn Manson        , Valentines Day               , 70
19,metal     , Marilyn Manson        , Vodevil                      ,100
20,metal     , Rammstein             , Sehnsucht                    , 80
21,metal     , Disturbed             , Perfect Insanity             , 95
22,metal     , Disturbed             , Breathe                      , 75
23,metal     , Arch Enemy            , Damnation's Way              , 80
24,metal     , Dalriada              , Táltosének                   , 65
25,metal     , Slipknot              , Gematria (The Killing Name)  , 50
26,metal     , Apocalyptica          , From Out Of Nowhere          , 90
27,metal     , ChthoniC              , Sail into the Sunset's Fire  , 70
28,metal     , Children Of Bodom     , Next in Line                 , 85
29,metal     , Dimmu Borgir          , Masses For The New Messiah   , 65
30,metal     , Cradle Of Filth       , Ebony dressed for sunet      , 55
