#, Réteg, Bemenet, Kernel méret, Stride, Padding, Kimenet, Paraméterek
1, Konvolúció, 800×20×1, 3×3×1×16, 1×1, VALID, 798×18×16, 144+16
2, Konvolúció, 798×18×16, 3×3×16×16, 1×1, VALID, 796×16×16, 2 304+16
3, Max pool, 796×16×16, 2×1, 2×1, , 398×16×16, 0
4, Konvolúció, 398×16×16, 5×5×16×32, 1×1, VALID, 394×12×32, 12 800+32
5, Konvolúció, 394×12×32, 5×5×32×32, 1×1, VALID, 390×8×32, 25 600+32
6, Max pool, 390×8×32, 2×2, 2×2, , 195×4×32, 0
7, Konvolúció, 195×4×32, 4×4×32×32, 1×1, VALID, 192×1×32, 16 384+32
8, Max pool, 192×1×32, 2×1, 2×1, , 96×1×32, 0
9, Lapítás, 96×1×32, , , , 3072, 0
10, Fully conn., 3072, , , ,512, 1 572 864+512
11,Fully conn., 512, , , , 256, 131 072+256
12,Fully conn., 256, , , , 128, 32 768+128
13,Fully conn., 128, , , , 64, 8 192+64
14,Fully conn., 64, , , , 32, 2 048+32
