#, Stílus, Előadó, Dal, Percentilis
0 , electronic , Nachtmahr        , Vendetta                                ,  50
1 , electronic , Angerfist        , Dortmund '05                            , 100
2 , electronic , The Prodigy      , No Good [CJ Bollands Museum Rmx]        ,  65
3 , electronic , Angelspit        , Sleep now (Angelspit remix)             ,  50
4 , electronic , Therange Freak   , Irminsul                                ,  50
5 , electronic , Ziog             , Good Looking Ghost                      ,  50
6 , electronic , Silent Horror    , Lamat                                   ,  55
7 , electronic , Butterfly Effect , White Rabbit                            ,  55
8 , electronic , The Grobians     , Green Concrete (Spaced Out Forest Remix),  55
9 , electronic , Angelspit        , Red                                     ,  70
10,  electronic,  D.F.S.          , Zero Degrees                            ,  55
11,  electronic,  Skunks Of Satan , Wake Up Bandai                          ,  85
12,  electronic,  Hocico          , Poisoned And Silenced                   ,  65
13,  electronic,  Nachtmahr       , Endzeitstimmung                         ,  55
14,  electronic,  Mind.In.A.Box   , Lost alone                              ,  55
